movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0001,Storm Voyage,TV Series,Crime,,2010,31,TV-MA,Japanese,USA,7.4,3411579.0,,5.0,,False,3/16/2022,False
movie_0002,Silent Adventure,Documentary,Thriller,,2014,108,TV-G,English,USA,5.1,,,,141.0,False,2/14/2022,False
movie_0003,Family Tale,Documentary,Sport,,2002,27,G,English,Japan,,,,,,True,6/7/2023,False
movie_0004,Storm Shadow,Limited Series,Crime,,2015,24,TV-Y,English,France,8.1,,,6.0,151.0,False,6/8/2022,True
movie_0005,Warrior Family,TV Series,Fantasy,,2010,394,TV-G,Spanish,Japan,4.3,2402126.0,52911298.0,,,False,4/6/2025,False
movie_0006,Adventure World,TV Series,Music,,1992,78,PG,Korean,USA,,,,6.0,,False,9/4/2023,False
movie_0007,Bright Crown,Documentary,Romance,,2022,50,G,English,Germany,4.9,,56600459.0,,,True,7/17/2021,False
movie_0008,Dark Voyage,Movie,Romance,,2000,45,NC-17,English,Japan,6.5,,,,199.0,True,9/28/2021,True
movie_0009,Adventure Family,Limited Series,Music,,1987,18,R,French,USA,7.4,,104370910.0,,,True,11/6/2025,True
movie_0010,Hidden Adventure,Movie,Music,,1994,92,PG-13,Hindi,South Korea,8.4,,,,185.0,False,9/13/2025,False
movie_0011,Adventure Night,Movie,Thriller,Romance,1994,58,TV-Y,English,France,8.2,,,,,False,10/31/2024,False
movie_0012,Warrior Story,Limited Series,Adventure,,2007,146,G,English,France,6.3,,6342443.0,1.0,,False,5/22/2021,False
movie_0013,Eternal Dream,Movie,Family,Fantasy,2003,110,TV-G,Spanish,USA,8.1,,,,,False,8/28/2024,False
movie_0014,Night Tale,Movie,Thriller,,2002,57,TV-G,Spanish,USA,5.1,,43776568.0,,,True,4/20/2024,False
movie_0015,Adventure Adventure,Movie,Fantasy,,2013,9,TV-G,Hindi,Japan,3.0,3724723.0,,,,False,9/12/2025,False
